json_path,avsr_text,stt_text,selected_text,gt_text,cer_before,wer_before,cer_after,wer_after
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\0_snr0.0.json,회사 취직 교수님께서 과제로 내주신 에세이에 엄청 애쓴 내가 너무 하심해,회사 취직 교수님께서 과제로 내주신 에세이의 엄청 애쓴 내가 너무 현심이에요,회사 취직 교수님께서 과제로 내주신 에세이에 엄청 애쓴 내가 너무 하심해,회사 취직 교수님께서 과제로 내주신 에세이에 엄청 애쓴 내가 너무 한심해.,0.048780,0.090909,0.048780,0.090909
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\10_snr0.0.json,오늘 회사에서 포나사가 나와서 소고기를 사 먹할 거야,오늘 회사에서 보너스가 나와서 소고기를 사먹을 거야.,오늘 회사에서 보너스가 나와서 소고기를 사먹을 거야.,오늘 회사에서 보너스가 나와서 소고기를 사 먹을 꺼야.,0.200000,0.375000,0.066667,0.375000
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\11_snr0.0.json,이번에는 최종 합격을 하고 있다고 생각했는데 똑딸라졌어,이번에는 최종 합격했다고 생각했는데 또 떨어졌어,이번에는 최종 합격했다고 생각했는데 또 떨어졌어,이번에는 최종 합격했다고 생각했는데 또 떨어졌어.,0.037037,0.166667,0.037037,0.166667
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\12_snr0.0.json,요새 코로나로 일자리가 많이 부족한 것 같아 친구가 취업했는데 정말 화가 나,요새 코로나로 일자리가 많이 부족한 것 같아. 친구가 취업했는데 정말 화가 나.,요새 코로나로 일자리가 많이 부족한 것 같아. 친구가 취업했는데 정말 화가 나.,요새 코로나로 일자리가 많이 부족한 것 같아. 친구가 취업 했는데 정말 화가 나.,0.066667,0.307692,0.022222,0.153846
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\13_snr0.0.json,오늘 김 부장이 직원들 앞에서 애게 무일감을 준 것이 내리어 빚 미치지 않아 주지 않아서 화가 나,오늘 김부장이 직원들 앞에서 이렇게 모욕감을 준 것이 내 일에서 잊히지 않아. 잊히지 않아서 화가 나.,오늘 김부장이 직원들 앞에서 이렇게 모욕감을 준 것이 내 일에서 잊히지 않아. 잊히지 않아서 화가 나.,오늘 김 부장이 직원들 앞에서 내게 모욕감을 준 것이 뇌리에서 이 잊히지 않아 잊히지 않아서 화가 나.,0.210526,0.411765,0.157895,0.352941
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\14_snr0.0.json,우리나라에서 하소 수수자들의 취업이 쉽진 않은 것 같아,우리나라에서 성수소자들의 취업이 쉽지는 않은 것 같아요.,우리나라에서 성수소자들의 취업이 쉽지는 않은 것 같아요.,우리나라에서 성 수소자들의 취업이 쉽지는 않은 것 같애.,0.225806,0.500000,0.096774,0.375000
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\15_snr0.0.json,직장에서 무급항 휴가를 가려고 해서 고상하라고 해서 충격받았어,직장에서 무급 휴가를 가려고 해서 고카라고 해서 충격받았어요,직장에서 무급항 휴가를 가려고 해서 고상하라고 해서 충격받았어,직장에서 무급 휴가를 가려고 해서 가라고 해서 충격받았어.,0.156250,0.375000,0.156250,0.375000
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\16_snr0.0.json,회사 사정이 안 좋아졌대 나 지방으로 분양이 갔어 갑자기 생긴 일이라 당황습,회사 사정이 안 좋아졌대. 나 지방으로 공약을 났어. 갑자기 생긴 일이라 당황스러워.,회사 사정이 안 좋아졌대 나 지방으로 분양이 갔어 갑자기 생긴 일이라 당황습,회사 사정이 안 좋아졌대. 나 지방으로 발령이 났어. 갑자기 생긴 일이라 당황스러워.,0.191489,0.333333,0.191489,0.333333
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\17_snr0.0.json,이번에 새봉 막회에 빤 프로젝트하면서 너무 힘들어 예전에는 겉든 이었는데 이제는 체력이 부족해서 훨씬 힘드네 ,이번에 새로 맡게 된 프로젝트 하면서 너무 힘들어요. 예전에는 걷듯이 했는데 이제는 체력이 부족해서 훨씬 힘드네요.,이번에 새로 맡게 된 프로젝트 하면서 너무 힘들어요. 예전에는 걷듯이 했는데 이제는 체력이 부족해서 훨씬 힘드네요.,이번에 새로 맡게 된 프로젝트 하면서 너무 힘들어. 예전에는 거뜬히 해 냈는데 이제는 체력이 부족해서 훨씬 힘드네.,0.218750,0.588235,0.125000,0.294118
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\18_snr0.0.json,직장 상사가 나한테 자꾸 내 업무가 아닌 정리를 시켜서 짜증 나,직장 상사가 나한테 자꾸 내 업무가 아닌 잔해를 시켜서 짜잔다.,직장 상사가 나한테 자꾸 내 업무가 아닌 잔해를 시켜서 짜잔다.,직장 상사가 나한테 자꾸 내 업무가 아닌 잡일을 시켜서 짜증 나.,0.111111,0.181818,0.166667,0.272727
